Timestamp,PM2.5
2025-01-01 00:00:00,18.3
2025-01-01 01:00:00,37.6
2025-01-01 02:00:00,41.7
2025-01-01 04:00:00,36.5
2025-01-01 05:00:00,30.1
2025-01-01 06:00:00,45.3
2025-01-01 07:00:00,63.3
2025-01-01 08:00:00,60.3
2025-01-01 10:00:00,51.3
2025-01-01 11:00:00,41.3
2025-01-01 12:00:00,32.9
2025-01-01 13:00:00,48.0
2025-01-01 14:00:00,22.6
2025-01-01 21:00:00,36.5
2025-01-01 23:00:00,12.7
2025-01-02 14:00:00,50.5
2025-01-02 18:00:00,52.7
2025-01-02 22:00:00,33.0
2025-01-03 02:00:00,34.2
2025-01-03 04:00:00,26.9
2025-01-03 10:00:00,63.1
2025-01-03 11:00:00,34.6
2025-01-03 12:00:00,14.1
2025-01-03 14:00:00,49.3
2025-01-03 19:00:00,32.9
2025-01-03 20:00:00,38.3
2025-01-03 22:00:00,34.3
2025-01-04 00:00:00,33.5
2025-01-04 02:00:00,36.0
2025-01-04 03:00:00,22.9
2025-01-04 05:00:00,25.5
2025-01-04 07:00:00,53.3
2025-01-04 14:00:00,50.9
2025-01-05 03:00:00,40.9
2025-01-05 12:00:00,42.7
2025-01-05 15:00:00,48.4
2025-01-05 18:00:00,39.8
2025-01-05 20:00:00,40.3
2025-01-06 06:00:00,41.2
2025-01-06 07:00:00,52.9
2025-01-06 16:00:00,66.4
2025-01-07 01:00:00,29.7
2025-01-07 17:00:00,53.1
2025-01-07 19:00:00,71.7
2025-01-07 23:00:00,22.1
2025-01-08 01:00:00,24.2
2025-01-08 03:00:00,36.4
2025-01-08 09:00:00,52.6
2025-01-08 13:00:00,38.0
2025-01-08 17:00:00,53.4
2025-01-09 05:00:00,58.4
2025-01-09 06:00:00,45.8
2025-01-09 09:00:00,48.5
2025-01-09 16:00:00,63.5
2025-01-09 18:00:00,64.5
2025-01-09 20:00:00,56.5
2025-01-09 21:00:00,51.5
2025-01-10 01:00:00,26.8
2025-01-10 03:00:00,24.6
2025-01-10 07:00:00,58.7
2025-01-10 11:00:00,53.7
2025-01-10 13:00:00,26.1
2025-01-10 14:00:00,46.1
2025-01-10 15:00:00,40.7
2025-01-10 20:00:00,39.7
2025-01-10 21:00:00,53.9
2025-01-10 22:00:00,46.7
2025-01-11 00:00:00,20.4
2025-01-11 01:00:00,42.2
2025-01-11 02:00:00,31.8
2025-01-11 04:00:00,40.1
2025-01-11 13:00:00,40.8
2025-01-11 18:00:00,73.9
2025-01-11 22:00:00,38.0
2025-01-11 23:00:00,41.1
2025-01-12 00:00:00,28.2
2025-01-12 04:00:00,36.2
2025-01-12 10:00:00,42.8
2025-01-12 13:00:00,32.2
2025-01-12 18:00:00,58.8
2025-01-12 19:00:00,52.1
2025-01-12 20:00:00,48.0
2025-01-12 22:00:00,56.2
2025-01-13 12:00:00,50.9
2025-01-13 16:00:00,63.4
2025-01-13 18:00:00,41.4
2025-01-13 19:00:00,64.6
2025-01-14 02:00:00,21.4
2025-01-14 08:00:00,55.0
2025-01-14 11:00:00,46.4
2025-01-14 12:00:00,37.4
2025-01-14 18:00:00,46.4
2025-01-14 20:00:00,38.3
2025-01-14 22:00:00,42.7
2025-01-15 00:00:00,39.0
2025-01-15 01:00:00,14.1
2025-01-15 10:00:00,44.7
2025-01-15 13:00:00,50.4
2025-01-15 15:00:00,38.2
2025-01-15 16:00:00,64.9
2025-01-15 17:00:00,60.8
2025-01-15 18:00:00,32.2
2025-01-15 19:00:00,67.9
2025-01-15 21:00:00,24.4
2025-01-15 23:00:00,24.2
2025-01-16 08:00:00,53.9
2025-01-16 18:00:00,58.3
2025-01-16 20:00:00,45.2
2025-01-16 23:00:00,32.4
2025-01-17 07:00:00,31.0
2025-01-17 12:00:00,38.2
2025-01-17 18:00:00,69.1
2025-01-17 19:00:00,45.7
2025-01-17 21:00:00,45.3
2025-01-17 22:00:00,54.2
2025-01-18 01:00:00,31.8
2025-01-18 12:00:00,61.7
2025-01-18 17:00:00,54.9
2025-01-19 00:00:00,32.1
2025-01-19 03:00:00,21.8
2025-01-19 06:00:00,28.4
2025-01-19 17:00:00,65.2
2025-01-19 18:00:00,51.1
2025-01-19 20:00:00,50.3
2025-01-19 21:00:00,58.2
2025-01-19 23:00:00,37.0
2025-01-20 02:00:00,23.2
2025-01-20 03:00:00,38.2
2025-01-20 11:00:00,51.7
2025-01-20 13:00:00,55.1
2025-01-20 14:00:00,48.1
2025-01-20 22:00:00,47.0
2025-01-21 01:00:00,25.1
2025-01-21 03:00:00,40.0
2025-01-21 04:00:00,38.4
2025-01-21 05:00:00,37.7
2025-01-21 10:00:00,39.7
2025-01-21 11:00:00,26.7
2025-01-21 16:00:00,60.9
2025-01-21 17:00:00,51.7
2025-01-21 20:00:00,44.2
2025-01-21 22:00:00,27.5
2025-01-22 00:00:00,37.8
2025-01-22 01:00:00,32.2
2025-01-22 10:00:00,51.0
2025-01-22 11:00:00,40.2
2025-01-22 15:00:00,40.5
2025-01-22 21:00:00,23.6
2025-01-23 02:00:00,32.2
2025-01-23 04:00:00,36.8
2025-01-23 11:00:00,40.4
2025-01-23 17:00:00,53.9
2025-01-23 20:00:00,39.7
2025-01-23 21:00:00,48.6
2025-01-24 00:00:00,36.5
2025-01-24 03:00:00,34.9
2025-01-24 05:00:00,51.9
2025-01-24 06:00:00,53.8
2025-01-24 08:00:00,61.8
2025-01-24 11:00:00,51.6
2025-01-24 12:00:00,48.6
2025-01-25 00:00:00,43.1
2025-01-25 01:00:00,27.7
2025-01-25 04:00:00,35.5
2025-01-25 07:00:00,56.4
2025-01-25 09:00:00,71.7
2025-01-25 13:00:00,40.3
2025-01-25 17:00:00,64.0
2025-01-25 19:00:00,63.6
2025-01-26 02:00:00,29.8
2025-01-26 05:00:00,45.0
2025-01-26 10:00:00,52.0
2025-01-26 12:00:00,26.2
2025-01-26 14:00:00,36.4
2025-01-27 01:00:00,20.6
2025-01-27 02:00:00,22.0
2025-01-27 04:00:00,36.5
2025-01-27 10:00:00,40.0
2025-01-27 20:00:00,41.0
2025-01-27 22:00:00,37.7
2025-01-28 01:00:00,34.9
2025-01-28 05:00:00,32.0
2025-01-28 07:00:00,63.9
2025-01-28 12:00:00,52.8
2025-01-28 18:00:00,31.9
